file_name,average_sentence_length,average_word_length,comma_frequency,punctuation_frequency,unique_word_count,zipf_ratio
ai/AI Paper #1.txt,3.7988505747126435,2.2129750982961993,47,1485,1680,0.09507538948622432
ai/AI Paper #10.txt,13.008547008547009,5.965317919075145,107,543,558,0.04902888852619616
ai/AI Paper #11.txt,14.194444444444445,6.307248236048749,106,542,560,0.04548073133016061
ai/AI Paper #12.txt,14.74757281553398,6.233163913595934,91,530,557,0.044610213468570366
ai/AI Paper #13.txt,14.4,6.223097112860892,94,482,570,0.03493271059537248
ai/AI Paper #14.txt,14.816326530612244,6.114266842800529,98,518,581,0.04251899473991899
ai/AI Paper #15.txt,15.0,6.162947937795808,90,492,572,0.03690827822359332
ai/AI Paper #16.txt,14.144444444444444,6.191097467382963,76,420,523,0.05119426102551537
ai/AI Paper #17.txt,15.03191489361702,5.9490489130434785,94,519,530,0.04448645242596059
ai/AI Paper #18.txt,15.946808510638299,6.143994691439947,94,479,544,0.0468482439985789
ai/AI Paper #19.txt,13.857142857142858,6.598366235534377,103,549,578,0.0429322873909214
ai/AI Paper #2.txt,4.24375,2.1798925071135,52,1597,1767,0.08898640996602694
ai/AI Paper #20.txt,15.10204081632653,6.145833333333333,109,569,550,0.039396304970076415
ai/AI Paper #21.txt,14.035398230088495,6.0451263537906135,91,548,524,0.05018336833526725
ai/AI Paper #22.txt,15.53061224489796,6.186617556783303,106,595,538,0.054314090626940356
ai/AI Paper #23.txt,15.216494845360824,6.047526041666667,105,538,506,0.04410441044104447
ai/AI Paper #24.txt,15.179775280898877,6.304682040531097,83,475,464,0.07142857142857253
ai/AI Paper #25.txt,15.262626262626263,6.214100905562742,103,506,522,0.04304077240737545
ai/AI Paper #3.txt,4.629370629370629,2.169288860918817,54,1584,1724,0.0832585870310753
ai/AI Paper #4.txt,4.355263157894737,2.1702263308893848,68,1568,1710,0.08285015160380743
ai/AI Paper #5.txt,4.029761904761905,2.1653175591531757,57,1633,1766,0.07222662889518969
ai/AI Paper #6.txt,4.142857142857143,2.1337394836089354,70,1742,1833,0.058252592794759826
ai/AI Paper #7.txt,4.112426035502959,2.1562021439509955,54,1630,1798,0.06673674230713843
ai/AI Paper #8.txt,4.254545454545455,2.1703613726085638,59,1611,1823,0.08551565521927623
ai/AI Paper #9.txt,14.564356435643564,5.84739214423696,105,545,586,0.05246816675388058
ai/AI.txt,20.223880597014926,5.93001443001443,128,244,708,0.024045261669023966
ai/London1500.txt,22.166666666666668,5.266351989211059,111,196,615,0.024342404819446536
ai/MLGCMs.txt,22.2,5.957417582417582,80,184,531,0.036268343815513984
ai/Machiavelli.txt,22.77777777777778,5.6304520222046,83,170,516,0.04606891300209393
ai/MtgTuring.txt,24.45614035087719,5.467329545454546,88,178,527,0.03198248062761694
ai/OptimalTrajectoryTracking.txt,22.964912280701753,5.935897435897436,82,187,472,0.03809523809523853
ai/behavioral.txt,24.484848484848484,6.205003050640634,97,211,553,0.03530344202898513
ai/caffinefps.txt,19.77777777777778,5.611329661683714,74,191,441,0.0579071969696965
ai/chess.txt,22.492537313432837,5.7722258273848155,108,210,560,0.02918534300818039
ai/coopsociety.txt,22.516666666666666,6.145480225988701,112,240,457,0.042167919799499534
ai/crypto.txt,23.783333333333335,6.197350069735007,94,162,504,0.041871845847988906
ai/feudMarx.txt,24.9375,5.766826923076923,94,236,549,0.034759475859642314
ai/forensic.txt,23.39344262295082,6.002783576896312,77,167,505,0.028673835125448622
ai/frenchrevolution.txt,24.703703703703702,5.865185185185185,55,87,337,0.032897534013605276
ai/genderdiff_in_cs.txt,23.254901960784313,6.108713692946058,85,167,488,0.05418144483852967
ai/globalwarming.txt,19.847457627118644,5.894254787676936,105,220,614,0.03399080527954966
ai/medicalimage.txt,23.983870967741936,5.941792020928712,112,244,569,0.04630910462776609
ai/meme.txt,23.392857142857142,5.845509893455099,109,166,462,0.04380379259673912
ai/nanostructure.txt,22.53731343283582,6.320470896010464,114,217,583,0.035812469317624905
ai/petrocityplan.txt,23.676470588235293,6.108493490390576,89,180,504,0.0317672909908964
ai/player.txt,24.410714285714285,5.65843023255814,117,183,455,0.030387002036853437
ai/riseandfallOfBri.txt,23.350877192982455,5.3913690476190474,130,209,559,0.021367521367521677
ai/seneca.txt,23.567164179104477,5.413325107958051,93,202,512,0.03626246669653117
ai/subconscious.txt,22.52173913043478,5.992989165073295,133,225,545,0.023461687306501788
ai/womensafety.txt,22.8125,5.734530938123752,98,192,548,0.03633455210237692
human/131_Exploring_the_Role_of_Visualization_and_Engage.txt,14.737133808392716,5.2170418862100165,1128,4055,3051,0.005759411650358965
human/1_PuzzleBased_Learning_for_Engineering_and_Compute.txt,15.524705882352942,5.025530651625353,369,1205,1718,0.009880799844690032
human/A_Quantitative_Evaluation_of_the_Relative_Status_o.txt,16.288220551378448,4.960238568588469,315,1213,1632,0.01407258182242851
human/A_Social_Construction_Approach_to_Computer_Science.txt,12.812244897959184,4.973856209150327,667,1938,2090,0.011598240021185988
human/A_comparison_of_bibliometric_indicators_for_comput.txt,10.761154855643044,4.665033460803059,547,2245,1614,0.010781902536397242
human/A_mong_the_biggest_chal_lenges_the_world_faces_tod.txt,12.039325842696629,5.119927862939585,155,559,1046,0.030721988145397658
human/Abstraction_in_Computer_Science_Timothy_Colburn__G.txt,16.7098121085595,5.259282255060226,527,1295,1827,0.011027646735833289
human/An_Analysis_of_Patterns_of_Debugging_Among_Novice_.txt,12.476923076923077,4.920403126285479,263,901,1300,0.010711401408350715
human/Comput_Math_Applic_Vol_15_No_9_pp_723742_1988.txt,9.05921052631579,3.972997572815534,1447,5513,1658,0.013986746602174947
human/Computer_Science_and_Decision_Theory_Applications_.txt,7.221052631578948,5.050095117311351,1002,2429,1666,0.015729522626073952
human/Computers_Math_Applic_VoL_24_No_7_pp_7787_1992.txt,10.80877192982456,4.217370965226883,540,2523,1480,0.010948633867895038
human/Computers_Math_Applic_Vol_35_No_11_pp_1726_1998.txt,9.562945368171022,3.2805790108564534,680,2801,843,0.032300806308270716
human/Computers_Math__Applic__Vol__27_No_.txt,13.255725190839694,4.798217878700776,200,868,979,0.016415052728658463
human/Contributing_to_Success_in_an_Introductory_Compute.txt,11.518987341772151,5.092740822522771,203,888,1053,0.019548931739995716
human/ELSEVIER_Theoretical_Computer_Science_201_1998_991.txt,12.660785886126703,4.054564404389676,1559,6012,2439,0.011865644120990585
human/EduComponents_Experiences_in_EAssessment_in_Comput.txt,11.335243553008596,5.124876847290641,246,963,1338,0.017768210591605594
human/Experimenting_with_Industrys_PairProgramming_Model.txt,14.542372881355933,5.190905602455871,288,919,1446,0.012098456403838045
human/Fuller_Ursula_Johnson_Colin_G_Ahoniemi_Tuukka_Cuki.txt,12.141322314049587,5.154093743713538,1094,3337,3082,0.0063887609666156055
human/IMPROVING_THE_PERSISTENCE_OF_FIRSTYEAR_UNDERGRADUA.txt,17.96186440677966,5.066109951287404,190,634,1263,0.012603710263820234
human/Journal_of_Information_Technology_Education_Volume.txt,11.393570807993049,5.073266430242209,849,3278,2526,0.008381072220934706
human/PERGAMON_Intmil_Joumml_computers__mathematics_wh_q.txt,10.582633053221288,3.5648561507936507,967,4991,1444,0.015228245997477187
human/Podcasting_Computer_Science_E1_Citation_Malan_Davi.txt,11.620396600566572,4.690921690921691,261,1196,1251,0.022600000000000457
human/Preprint_of_Amnon_H_Eden_Three_paradigms_of_comput.txt,14.287323943661972,5.237888319605681,886,3675,3446,0.005987090260291249
human/Reports_and_Articles_CURRICULUM_78_Recommendations.txt,11.73076923076923,5.403156384505022,864,3741,3259,0.0073835345474395605
human/See_discussions_stats_and_author_profiles_for_this.txt,15.037383177570094,5.141573729863692,189,539,1110,0.02295673254593532
human/Session_T2F_1424402573062000__2006_IEEE_October_28.txt,18.1985559566787,5.058465764175005,311,891,1278,0.010853608699325057
human/SpringerVerlag_London_Ltd_2004_Knowledge_and_Infor.txt,15.82903981264637,4.849502666858872,363,1215,1551,0.009619709973365191
human/Strategies_for_Preparing_Computer_Science_Students.txt,11.523905723905724,5.367526243724327,1074,4429,3647,0.008372238029653409
human/Theoretical_Computer_Science_136_1994_387417_387_E.txt,11.135593220338983,3.264030902067712,1170,5179,1238,0.018217267064097962
human/Theoretical_Computer_Science_257_2001_85105_wwwels.txt,10.350687622789783,3.866487369128806,402,3157,1646,0.01185051336667979
human/Theoretical_Computer_Science_286_2002_323366_wwwel.txt,20.927346115035316,4.1963720838276,994,7274,2144,0.008946096847115666
human/Theoretical_Computer_Science_287_2002_251265_wwwel.txt,12.245353159851302,4.450294117647059,291,1970,1407,0.013348109431340323
human/Theoretical_Computer_Science_305_2003_409432_wwwel.txt,11.260479041916168,3.9801136363636362,626,5031,1517,0.017201136594277522
human/Theoretical_Computer_Science_322_2004_175179_wwwel.txt,15.959302325581396,4.245357142857143,88,620,763,0.02224241200619176
human/Theoretical_Computer_Science_32_1984_157172_NorthH.txt,10.220316622691293,4.3554095045500505,627,2822,1845,0.00864543609228626
human/Theoretical_Computer_Science_335_2005_131146_wwwel.txt,7.080617495711835,4.745902619930614,991,3273,1977,0.013594804318489008
human/Theoretical_Computer_Science_350_2006_345372_wwwel.txt,14.105585309869932,3.9874958319439813,1547,5358,1631,0.010338153666374417
human/Theoretical_Computer_Science_366_2006_228247_wwwel.txt,8.97212543554007,3.6271993543179986,1588,6695,1457,0.020640543666859332
human/Theoretical_Computer_Science_374_2007_203213_wwwel.txt,10.474006116207951,3.907489617642847,546,2420,1078,0.021821498965612255
human/Theoretical_Computer_Science_374_2007_229260_wwwel.txt,14.569347688410387,4.677304069963,1840,6639,2182,0.007949427964296579
human/Theoretical_Computer_Science_401_2008_2735_Content.txt,12.5284178187404,4.029383773495122,1218,3617,1293,0.026000458662996728
human/Theoretical_Computer_Science_403_2008_121129_Conte.txt,18.0,4.548074369189907,355,1499,1520,0.009911413495860883
human/Theoretical_Computer_Science_405_2008_116163_Conte.txt,10.76958525345622,4.0505175117616306,3325,16846,3477,0.005020426664678035
human/Theoretical_Computer_Science_406_2008_187206_Conte.txt,12.05229357798165,3.7716063097089534,1337,5922,1491,0.015482898467500887
human/Theoretical_Computer_Science_410_2009_44484456_Con.txt,12.361751152073733,3.9247763374109916,485,1855,967,0.027892212785735043
human/Theoretical_Computer_Science_43_1986_4358_NorthHol.txt,11.72168905950096,4.0864157648198995,580,2533,1198,0.019936051641821034
human/Theoretical_Computer_Science_ELSEVIER_Theoretical_.txt,10.464435146443515,4.07469600463231,514,3239,1442,0.011211401206851287
human/Undergraduate_Computer_Science_Education_in_China_.txt,18.349056603773583,5.724779874213836,244,708,1278,0.01641450741335194
human/Using_Interdisciplinary_Bioinformatics_Undergradua.txt,15.73134328358209,5.346629560915275,181,618,1210,0.016319908379461498
human/_____Constructivism_in_Computer_Science_Education.txt,12.42,4.980738786279684,257,927,1328,0.01566059472147805
